keys,en,de,ru
KEY_NAME,English,Deutsch,Русский
KEY_PLAY,Play,Spielen,Играть
KEY_SETTINGS,Settings,Einstellungen,Настройки
KEY_LANGUAGE,Language,Sprache,Язык
KEY_LANGUAGESELECT,Languages,Sprachauswahl,Выбор языка
KEY_BACK,Back,Zurück,Вернутся
KEY_QUIT,Quit,Beenden,Выйти
KEY_TEXT,,"Am Anfang erschuf Gott Himmel und Erde.+ 2  Die Erde nun war formlos und öde*. Über dem tiefen* Wasser+ war Dunkelheit und Gottes aktive Kraft*+ bewegte sich über der Wasseroberfläche+ hin und her. 3  Gott sagte: „Es soll Licht erscheinen.“ Da erschien Licht.+ 4  Danach sah Gott, dass das Licht gut war, und er begann das Licht von der Dunkelheit zu trennen. 5  Gott nannte das Licht Tag, die Dunkelheit aber nannte er Nacht.+ Es wurde Abend und es wurde Morgen: der erste Tag. 6  Weiter sagte Gott: „Zwischen dem Wasser soll eine Ausdehnung+ entstehen und das Wasser soll getrennt werden.“+ 7  Da machte Gott die Ausdehnung und trennte das Wasser unterhalb der Ausdehnung von dem Wasser oberhalb der Ausdehnung.+ Und so geschah es. 8  Gott nannte die Ausdehnung Himmel. Es wurde Abend und es wurde Morgen: der zweite Tag. 9  Weiter sagte Gott: „Das Wasser unter dem Himmel soll sich an einem Ort sammeln und das trockene Land soll erscheinen.“+ Und so geschah es. 10  Gott nannte das trockene Land Erde,+ die Wasseransammlungen aber nannte er Meere.+ Und Gott sah, dass es gut war.+ 11  Dann sagte Gott: „Auf der Erde soll Gras wachsen. Es sollen Pflanzen und Bäume nach ihren Arten wachsen mit Samen und Samen tragenden Früchten.“ Und so geschah es. 12  Die Erde brachte Gras hervor, Samen tragende Pflanzen+ und Bäume, die Früchte mit Samen trugen — nach ihren Arten. Dann sah Gott, dass es gut war. 13  Es wurde Abend und es wurde Morgen: der dritte Tag. "," В наgчале+ Бог+ сотворил+ небеса и землю+. 2  Земля была бесформенна и пуста, и на поверхности водной пучины+ была тьма, и действующая сила Бога носилась+ над поверхностью вод+. 3  И сказал Бог+: «Пусть будет свет». И появился свет+. 4  Бог увидел, что свет хорош, и отделил Бог свет от тьмы+. 5  Бог назвал свет Днём+, а тьму — Ночью+. И был вечер, и было утро — день первый. 6  И сказал Бог: «Пусть будет пространство+ между водами и пусть будут отделены воды от вод»+. 7  Тогда Бог создал пространство и отделил воды под пространством от вод над пространством+. И стало так. 8  Бог назвал пространство Небом+. И был вечер, и было утро — день второй. 9  И сказал Бог: «Пусть воды под небесами соберутся в одно место и пусть появится суша»+. И стало так. 10  Бог назвал сушу Землёй+, а собранные воды назвал Морями+. И увидел Бог, что это хорошо+. 11  Затем Бог сказал: «Пусть земля произведёт траву, растения, дающие семена+, плодовые деревья, приносящие по своему роду плоды+ с семенами+,— пусть так будет на земле». И стало так. 12  Земля произвела траву, растения, дающие семена по их роду+, и деревья, приносящие плоды с семенами по их роду+. И увидел Бог, что это хорошо. 13  И был вечер, и было утро — день третий."
KEY_PLAY_VIDEO,Play video,Video abspielen,Проиграть видео
KEY_PLACEHOLDER,Placeholder:,Platzhalter:,Заполнитель:
KEY_VALUE,Value:,Wert:,Значение:
KEY_APPLY,Apply,Anwenden,Применить
KEY_PLACEHOLDER_NAME,My name is {{NAME}}.,Mein Name ist {{NAME}}.,Меня зовут {{NAME}}.
KEY_PLACEHOLDER_AGE,I'm {{OLD}}  years old.,Ich bin {{OLD}} Jahre alt.,Мне {{OLD}} лет.
KEY_PLACEHOLDER_NAME_AGE,"My name is {{NAME}}, and I'm {{OLD}}  years old.",Mein Name ist {{NAME}} und ich bin {{OLD}} Jahre alt.,Меня зовут {{NAME}} и мне {{OLD}} лет.
